f1,f2,f3,f4,f5,trial,true_category,response,correct,performance,agent,scaling,weight_type
1,0,0,1,1,26,1,0,0,0.5,1,0.1,skewed2
0,1,0,1,1,27,0,1,0,0.48148148148148145,1,0.1,skewed2
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.1,skewed2
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.1,skewed2
1,0,1,1,1,30,1,1,1,0.4666666666666667,1,0.1,skewed2
0,1,1,1,1,31,0,0,1,0.4838709677419355,1,0.1,skewed2
1,1,1,1,1,32,1,1,1,0.5,1,0.1,skewed2
0,0,0,0,0,1,0,0,1,1,1,0.1,skewed3
1,0,0,0,0,2,1,1,1,1,1,0.1,skewed3
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,skewed3
1,1,0,0,0,4,1,0,0,0.5,1,0.1,skewed3
0,0,1,0,0,5,0,0,1,0.6,1,0.1,skewed3
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.1,skewed3
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,skewed3
1,1,1,0,0,8,1,1,1,0.625,1,0.1,skewed3
0,0,0,1,0,9,0,0,1,0.6666666666666666,1,0.1,skewed3
1,0,0,1,0,10,1,1,1,0.7,1,0.1,skewed3
0,1,0,1,0,11,0,1,0,0.6363636363636364,1,0.1,skewed3
1,1,0,1,0,12,1,1,1,0.6666666666666666,1,0.1,skewed3
0,0,1,1,0,13,0,1,0,0.6153846153846154,1,0.1,skewed3
1,0,1,1,0,14,1,0,0,0.5714285714285714,1,0.1,skewed3
0,1,1,1,0,15,0,0,1,0.6,1,0.1,skewed3
1,1,1,1,0,16,1,0,0,0.5625,1,0.1,skewed3
0,0,0,0,1,17,0,1,0,0.5294117647058824,1,0.1,skewed3
1,0,0,0,1,18,1,1,1,0.5555555555555556,1,0.1,skewed3
0,1,0,0,1,19,0,1,0,0.5263157894736842,1,0.1,skewed3
1,1,0,0,1,20,1,1,1,0.55,1,0.1,skewed3
0,0,1,0,1,21,0,0,1,0.5714285714285714,1,0.1,skewed3
1,0,1,0,1,22,1,1,1,0.5909090909090909,1,0.1,skewed3
0,1,1,0,1,23,0,1,0,0.5652173913043478,1,0.1,skewed3
1,1,1,0,1,24,1,0,0,0.5416666666666666,1,0.1,skewed3
0,0,0,1,1,25,0,1,0,0.52,1,0.1,skewed3
1,0,0,1,1,26,1,0,0,0.5,1,0.1,skewed3
0,1,0,1,1,27,0,1,0,0.48148148148148145,1,0.1,skewed3
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.1,skewed3
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.1,skewed3
1,0,1,1,1,30,1,1,1,0.4666666666666667,1,0.1,skewed3
0,1,1,1,1,31,0,0,1,0.4838709677419355,1,0.1,skewed3
1,1,1,1,1,32,1,1,1,0.5,1,0.1,skewed3
0,0,0,0,0,1,0,0,1,1,1,0.1,skewed4
1,0,0,0,0,2,1,1,1,1,1,0.1,skewed4
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,skewed4
1,1,0,0,0,4,1,0,0,0.5,1,0.1,skewed4
0,0,1,0,0,5,0,0,1,0.6,1,0.1,skewed4
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.1,skewed4
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,skewed4
1,1,1,0,0,8,1,1,1,0.625,1,0.1,skewed4
0,0,0,1,0,9,0,0,1,0.6666666666666666,1,0.1,skewed4
1,0,0,1,0,10,1,1,1,0.7,1,0.1,skewed4
0,1,0,1,0,11,0,1,0,0.6363636363636364,1,0.1,skewed4
1,1,0,1,0,12,1,1,1,0.6666666666666666,1,0.1,skewed4
0,0,1,1,0,13,0,1,0,0.6153846153846154,1,0.1,skewed4
1,0,1,1,0,14,1,0,0,0.5714285714285714,1,0.1,skewed4
0,1,1,1,0,15,0,0,1,0.6,1,0.1,skewed4
1,1,1,1,0,16,1,0,0,0.5625,1,0.1,skewed4
0,0,0,0,1,17,0,1,0,0.5294117647058824,1,0.1,skewed4
1,0,0,0,1,18,1,1,1,0.5555555555555556,1,0.1,skewed4
0,1,0,0,1,19,0,1,0,0.5263157894736842,1,0.1,skewed4
1,1,0,0,1,20,1,1,1,0.55,1,0.1,skewed4
0,0,1,0,1,21,0,0,1,0.5714285714285714,1,0.1,skewed4
1,0,1,0,1,22,1,1,1,0.5909090909090909,1,0.1,skewed4
0,1,1,0,1,23,0,1,0,0.5652173913043478,1,0.1,skewed4
1,1,1,0,1,24,1,0,0,0.5416666666666666,1,0.1,skewed4
0,0,0,1,1,25,0,1,0,0.52,1,0.1,skewed4
1,0,0,1,1,26,1,0,0,0.5,1,0.1,skewed4
0,1,0,1,1,27,0,1,0,0.48148148148148145,1,0.1,skewed4
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.1,skewed4
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.1,skewed4
1,0,1,1,1,30,1,1,1,0.4666666666666667,1,0.1,skewed4
0,1,1,1,1,31,0,0,1,0.4838709677419355,1,0.1,skewed4
1,1,1,1,1,32,1,1,1,0.5,1,0.1,skewed4
0,0,0,0,0,1,0,0,1,1,1,0.1,skewed5
1,0,0,0,0,2,1,1,1,1,1,0.1,skewed5
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,skewed5
1,1,0,0,0,4,1,0,0,0.5,1,0.1,skewed5
0,0,1,0,0,5,0,0,1,0.6,1,0.1,skewed5
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.1,skewed5
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,skewed5
1,1,1,0,0,8,1,1,1,0.625,1,0.1,skewed5
0,0,0,1,0,9,0,0,1,0.6666666666666666,1,0.1,skewed5
1,0,0,1,0,10,1,1,1,0.7,1,0.1,skewed5
0,1,0,1,0,11,0,1,0,0.6363636363636364,1,0.1,skewed5
1,1,0,1,0,12,1,1,1,0.6666666666666666,1,0.1,skewed5
0,0,1,1,0,13,0,1,0,0.6153846153846154,1,0.1,skewed5
1,0,1,1,0,14,1,0,0,0.5714285714285714,1,0.1,skewed5
0,1,1,1,0,15,0,0,1,0.6,1,0.1,skewed5
1,1,1,1,0,16,1,0,0,0.5625,1,0.1,skewed5
0,0,0,0,1,17,0,1,0,0.5294117647058824,1,0.1,skewed5
1,0,0,0,1,18,1,1,1,0.5555555555555556,1,0.1,skewed5
0,1,0,0,1,19,0,1,0,0.5263157894736842,1,0.1,skewed5
1,1,0,0,1,20,1,1,1,0.55,1,0.1,skewed5
0,0,1,0,1,21,0,0,1,0.5714285714285714,1,0.1,skewed5
1,0,1,0,1,22,1,1,1,0.5909090909090909,1,0.1,skewed5
0,1,1,0,1,23,0,1,0,0.5652173913043478,1,0.1,skewed5
1,1,1,0,1,24,1,0,0,0.5416666666666666,1,0.1,skewed5
0,0,0,1,1,25,0,1,0,0.52,1,0.1,skewed5
1,0,0,1,1,26,1,0,0,0.5,1,0.1,skewed5
0,1,0,1,1,27,0,1,0,0.48148148148148145,1,0.1,skewed5
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.1,skewed5
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.1,skewed5
1,0,1,1,1,30,1,1,1,0.4666666666666667,1,0.1,skewed5
0,1,1,1,1,31,0,0,1,0.4838709677419355,1,0.1,skewed5
1,1,1,1,1,32,1,1,1,0.5,1,0.1,skewed5
0,0,0,0,0,1,0,0,1,1,1,0.30000000000000004,equal
1,0,0,0,0,2,1,0,0,0.5,1,0.30000000000000004,equal
0,1,0,0,0,3,0,1,0,0.3333333333333333,1,0.30000000000000004,equal
1,1,0,0,0,4,1,0,0,0.25,1,0.30000000000000004,equal
0,0,1,0,0,5,0,0,1,0.4,1,0.30000000000000004,equal
1,0,1,0,0,6,1,0,0,0.3333333333333333,1,0.30000000000000004,equal
0,1,1,0,0,7,0,0,1,0.42857142857142855,1,0.30000000000000004,equal
1,1,1,0,0,8,1,1,1,0.5,1,0.30000000000000004,equal
0,0,0,1,0,9,0,0,1,0.5555555555555556,1,0.30000000000000004,equal
1,0,0,1,0,10,1,1,1,0.6,1,0.30000000000000004,equal
0,1,0,1,0,11,0,0,1,0.6363636363636364,1,0.30000000000000004,equal
1,1,0,1,0,12,1,1,1,0.6666666666666666,1,0.30000000000000004,equal
0,0,1,1,0,13,0,0,1,0.6923076923076923,1,0.30000000000000004,equal
1,0,1,1,0,14,1,1,1,0.7142857142857143,1,0.30000000000000004,equal
0,1,1,1,0,15,0,1,0,0.6666666666666666,1,0.30000000000000004,equal
1,1,1,1,0,16,1,1,1,0.6875,1,0.30000000000000004,equal
0,0,0,0,1,17,0,0,1,0.7058823529411765,1,0.30000000000000004,equal
1,0,0,0,1,18,1,0,0,0.6666666666666666,1,0.30000000000000004,equal
0,1,0,0,1,19,0,1,0,0.631578947368421,1,0.30000000000000004,equal
1,1,0,0,1,20,1,1,1,0.65,1,0.30000000000000004,equal
0,0,1,0,1,21,0,0,1,0.6666666666666666,1,0.30000000000000004,equal
1,0,1,0,1,22,1,0,0,0.6363636363636364,1,0.30000000000000004,equal
0,1,1,0,1,23,0,1,0,0.6086956521739131,1,0.30000000000000004,equal
1,1,1,0,1,24,1,1,1,0.625,1,0.30000000000000004,equal
0,0,0,1,1,25,0,1,0,0.6,1,0.30000000000000004,equal
1,0,0,1,1,26,1,0,0,0.5769230769230769,1,0.30000000000000004,equal
0,1,0,1,1,27,0,0,1,0.5925925925925926,1,0.30000000000000004,equal
1,1,0,1,1,28,1,1,1,0.6071428571428571,1,0.30000000000000004,equal
0,0,1,1,1,29,0,1,0,0.5862068965517241,1,0.30000000000000004,equal
1,0,1,1,1,30,1,1,1,0.6,1,0.30000000000000004,equal
0,1,1,1,1,31,0,0,1,0.6129032258064516,1,0.30000000000000004,equal
1,1,1,1,1,32,1,0,0,0.59375,1,0.30000000000000004,equal
0,0,0,0,0,1,0,0,1,1,1,0.30000000000000004,skewed1
1,0,0,0,0,2,1,0,0,0.5,1,0.30000000000000004,skewed1
0,1,0,0,0,3,0,1,0,0.3333333333333333,1,0.30000000000000004,skewed1
1,1,0,0,0,4,1,0,0,0.25,1,0.30000000000000004,skewed1
0,0,1,0,0,5,0,0,1,0.4,1,0.30000000000000004,skewed1
1,0,1,0,0,6,1,0,0,0.3333333333333333,1,0.30000000000000004,skewed1
0,1,1,0,0,7,0,0,1,0.42857142857142855,1,0.30000000000000004,skewed1
1,1,1,0,0,8,1,1,1,0.5,1,0.30000000000000004,skewed1
0,0,0,1,0,9,0,0,1,0.5555555555555556,1,0.30000000000000004,skewed1
1,0,0,1,0,10,1,1,1,0.6,1,0.30000000000000004,skewed1
0,1,0,1,0,11,0,0,1,0.6363636363636364,1,0.30000000000000004,skewed1
1,1,0,1,0,12,1,1,1,0.6666666666666666,1,0.30000000000000004,skewed1
0,0,1,1,0,13,0,0,1,0.6923076923076923,1,0.30000000000000004,skewed1
1,0,1,1,0,14,1,1,1,0.7142857142857143,1,0.30000000000000004,skewed1
0,1,1,1,0,15,0,1,0,0.6666666666666666,1,0.30000000000000004,skewed1
1,1,1,1,0,16,1,1,1,0.6875,1,0.30000000000000004,skewed1
0,0,0,0,1,17,0,0,1,0.7058823529411765,1,0.30000000000000004,skewed1
1,0,0,0,1,18,1,0,0,0.6666666666666666,1,0.30000000000000004,skewed1
0,1,0,0,1,19,0,1,0,0.631578947368421,1,0.30000000000000004,skewed1
1,1,0,0,1,20,1,1,1,0.65,1,0.30000000000000004,skewed1
0,0,1,0,1,21,0,0,1,0.6666666666666666,1,0.30000000000000004,skewed1
1,0,1,0,1,22,1,0,0,0.6363636363636364,1,0.30000000000000004,skewed1
0,1,1,0,1,23,0,1,0,0.6086956521739131,1,0.30000000000000004,skewed1
1,1,1,0,1,24,1,1,1,0.625,1,0.30000000000000004,skewed1
0,0,0,1,1,25,0,0,1,0.64,1,0.30000000000000004,skewed1
1,0,0,1,1,26,1,0,0,0.6153846153846154,1,0.30000000000000004,skewed1
0,1,0,1,1,27,0,0,1,0.6296296296296297,1,0.30000000000000004,skewed1
1,1,0,1,1,28,1,1,1,0.6428571428571429,1,0.30000000000000004,skewed1
0,0,1,1,1,29,0,1,0,0.6206896551724138,1,0.30000000000000004,skewed1
1,0,1,1,1,30,1,1,1,0.6333333333333333,1,0.30000000000000004,skewed1
0,1,1,1,1,31,0,0,1,0.6451612903225806,1,0.30000000000000004,skewed1
1,1,1,1,1,32,1,1,1,0.65625,1,0.30000000000000004,skewed1
0,0,0,0,0,1,0,0,1,1,1,0.30000000000000004,skewed2
1,0,0,0,0,2,1,0,0,0.5,1,0.30000000000000004,skewed2
0,1,0,0,0,3,0,1,0,0.3333333333333333,1,0.30000000000000004,skewed2
1,1,0,0,0,4,1,1,1,0.5,1,0.30000000000000004,skewed2
0,0,1,0,0,5,0,0,1,0.6,1,0.30000000000000004,skewed2
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.30000000000000004,skewed2
0,1,1,0,0,7,0,0,1,0.7142857142857143,1,0.30000000000000004,skewed2
1,1,1,0,0,8,1,0,0,0.625,1,0.30000000000000004,skewed2
0,0,0,1,0,9,0,1,0,0.5555555555555556,1,0.30000000000000004,skewed2
1,0,0,1,0,10,1,0,0,0.5,1,0.30000000000000004,skewed2
0,1,0,1,0,11,0,0,1,0.5454545454545454,1,0.30000000000000004,skewed2
1,1,0,1,0,12,1,0,0,0.5,1,0.30000000000000004,skewed2
0,0,1,1,0,13,0,0,1,0.5384615384615384,1,0.30000000000000004,skewed2
1,0,1,1,0,14,1,0,0,0.5,1,0.30000000000000004,skewed2
0,1,1,1,0,15,0,1,0,0.4666666666666667,1,0.30000000000000004,skewed2
1,1,1,1,0,16,1,0,0,0.4375,1,0.30000000000000004,skewed2
0,0,0,0,1,17,0,0,1,0.47058823529411764,1,0.30000000000000004,skewed2
1,0,0,0,1,18,1,1,1,0.5,1,0.30000000000000004,skewed2
0,1,0,0,1,19,0,1,0,0.47368421052631576,1,0.30000000000000004,skewed2
1,1,0,0,1,20,1,0,0,0.45,1,0.30000000000000004,skewed2
0,0,1,0,1,21,0,0,1,0.47619047619047616,1,0.30000000000000004,skewed2
1,0,1,0,1,22,1,1,1,0.5,1,0.30000000000000004,skewed2
0,1,1,0,1,23,0,1,0,0.4782608695652174,1,0.30000000000000004,skewed2
1,1,1,0,1,24,1,0,0,0.4583333333333333,1,0.30000000000000004,skewed2
0,0,0,1,1,25,0,1,0,0.44,1,0.30000000000000004,skewed2
1,0,0,1,1,26,1,1,1,0.46153846153846156,1,0.30000000000000004,skewed2
0,1,0,1,1,27,0,0,1,0.48148148148148145,1,0.30000000000000004,skewed2
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.30000000000000004,skewed2
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.30000000000000004,skewed2
1,0,1,1,1,30,1,0,0,0.43333333333333335,1,0.30000000000000004,skewed2
0,1,1,1,1,31,0,0,1,0.45161290322580644,1,0.30000000000000004,skewed2
1,1,1,1,1,32,1,1,1,0.46875,1,0.30000000000000004,skewed2
0,0,0,0,0,1,0,0,1,1,1,0.30000000000000004,skewed3
1,0,0,0,0,2,1,0,0,0.5,1,0.30000000000000004,skewed3
0,1,0,0,0,3,0,1,0,0.3333333333333333,1,0.30000000000000004,skewed3
1,1,0,0,0,4,1,1,1,0.5,1,0.30000000000000004,skewed3
0,0,1,0,0,5,0,0,1,0.6,1,0.30000000000000004,skewed3
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.30000000000000004,skewed3
0,1,1,0,0,7,0,0,1,0.7142857142857143,1,0.30000000000000004,skewed3
1,1,1,0,0,8,1,0,0,0.625,1,0.30000000000000004,skewed3
0,0,0,1,0,9,0,1,0,0.5555555555555556,1,0.30000000000000004,skewed3
1,0,0,1,0,10,1,0,0,0.5,1,0.30000000000000004,skewed3
0,1,0,1,0,11,0,0,1,0.5454545454545454,1,0.30000000000000004,skewed3
1,1,0,1,0,12,1,0,0,0.5,1,0.30000000000000004,skewed3
0,0,1,1,0,13,0,0,1,0.5384615384615384,1,0.30000000000000004,skewed3
1,0,1,1,0,14,1,0,0,0.5,1,0.30000000000000004,skewed3
0,1,1,1,0,15,0,1,0,0.4666666666666667,1,0.30000000000000004,skewed3
1,1,1,1,0,16,1,0,0,0.4375,1,0.30000000000000004,skewed3
0,0,0,0,1,17,0,0,1,0.47058823529411764,1,0.30000000000000004,skewed3
1,0,0,0,1,18,1,1,1,0.5,1,0.30000000000000004,skewed3
0,1,0,0,1,19,0,1,0,0.47368421052631576,1,0.30000000000000004,skewed3
1,1,0,0,1,20,1,0,0,0.45,1,0.30000000000000004,skewed3
0,0,1,0,1,21,0,0,1,0.47619047619047616,1,0.30000000000000004,skewed3
1,0,1,0,1,22,1,1,1,0.5,1,0.30000000000000004,skewed3
0,1,1,0,1,23,0,1,0,0.4782608695652174,1,0.30000000000000004,skewed3
1,1,1,0,1,24,1,0,0,0.4583333333333333,1,0.30000000000000004,skewed3
0,0,0,1,1,25,0,1,0,0.44,1,0.30000000000000004,skewed3
1,0,0,1,1,26,1,1,1,0.46153846153846156,1,0.30000000000000004,skewed3
0,1,0,1,1,27,0,0,1,0.48148148148148145,1,0.30000000000000004,skewed3
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.30000000000000004,skewed3
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.30000000000000004,skewed3
1,0,1,1,1,30,1,0,0,0.43333333333333335,1,0.30000000000000004,skewed3
0,1,1,1,1,31,0,0,1,0.45161290322580644,1,0.30000000000000004,skewed3
1,1,1,1,1,32,1,1,1,0.46875,1,0.30000000000000004,skewed3
0,0,0,0,0,1,0,0,1,1,1,0.30000000000000004,skewed4
1,0,0,0,0,2,1,0,0,0.5,1,0.30000000000000004,skewed4
0,1,0,0,0,3,0,1,0,0.3333333333333333,1,0.30000000000000004,skewed4
1,1,0,0,0,4,1,1,1,0.5,1,0.30000000000000004,skewed4
0,0,1,0,0,5,0,0,1,0.6,1,0.30000000000000004,skewed4
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.30000000000000004,skewed4
0,1,1,0,0,7,0,0,1,0.7142857142857143,1,0.30000000000000004,skewed4
1,1,1,0,0,8,1,0,0,0.625,1,0.30000000000000004,skewed4
0,0,0,1,0,9,0,1,0,0.5555555555555556,1,0.30000000000000004,skewed4
1,0,0,1,0,10,1,0,0,0.5,1,0.30000000000000004,skewed4
0,1,0,1,0,11,0,0,1,0.5454545454545454,1,0.30000000000000004,skewed4
1,1,0,1,0,12,1,0,0,0.5,1,0.30000000000000004,skewed4
0,0,1,1,0,13,0,0,1,0.5384615384615384,1,0.30000000000000004,skewed4
1,0,1,1,0,14,1,0,0,0.5,1,0.30000000000000004,skewed4
0,1,1,1,0,15,0,1,0,0.4666666666666667,1,0.30000000000000004,skewed4
1,1,1,1,0,16,1,0,0,0.4375,1,0.30000000000000004,skewed4
0,0,0,0,1,17,0,0,1,0.47058823529411764,1,0.30000000000000004,skewed4
