f1,f2,f3,f4,f5,trial,true_category,response,correct,performance,agent,scaling,weight_type
1,0,0,0,1,18,1,1,1,0.5,1,0.30000000000000004,skewed4
0,1,0,0,1,19,0,1,0,0.47368421052631576,1,0.30000000000000004,skewed4
1,1,0,0,1,20,1,0,0,0.45,1,0.30000000000000004,skewed4
0,0,1,0,1,21,0,0,1,0.47619047619047616,1,0.30000000000000004,skewed4
1,0,1,0,1,22,1,1,1,0.5,1,0.30000000000000004,skewed4
0,1,1,0,1,23,0,1,0,0.4782608695652174,1,0.30000000000000004,skewed4
1,1,1,0,1,24,1,0,0,0.4583333333333333,1,0.30000000000000004,skewed4
0,0,0,1,1,25,0,1,0,0.44,1,0.30000000000000004,skewed4
1,0,0,1,1,26,1,1,1,0.46153846153846156,1,0.30000000000000004,skewed4
0,1,0,1,1,27,0,0,1,0.48148148148148145,1,0.30000000000000004,skewed4
1,1,0,1,1,28,1,0,0,0.4642857142857143,1,0.30000000000000004,skewed4
0,0,1,1,1,29,0,1,0,0.4482758620689655,1,0.30000000000000004,skewed4
1,0,1,1,1,30,1,0,0,0.43333333333333335,1,0.30000000000000004,skewed4
0,1,1,1,1,31,0,0,1,0.45161290322580644,1,0.30000000000000004,skewed4
1,1,1,1,1,32,1,1,1,0.46875,1,0.30000000000000004,skewed4
0,0,0,0,0,1,0,0,1,1,1,0.30000000000000004,skewed5
1,0,0,0,0,2,1,0,0,0.5,1,0.30000000000000004,skewed5
0,1,0,0,0,3,0,1,0,0.3333333333333333,1,0.30000000000000004,skewed5
1,1,0,0,0,4,1,1,1,0.5,1,0.30000000000000004,skewed5
0,0,1,0,0,5,0,0,1,0.6,1,0.30000000000000004,skewed5
1,0,1,0,0,6,1,1,1,0.6666666666666666,1,0.30000000000000004,skewed5
0,1,1,0,0,7,0,0,1,0.7142857142857143,1,0.30000000000000004,skewed5
1,1,1,0,0,8,1,0,0,0.625,1,0.30000000000000004,skewed5
0,0,0,1,0,9,0,1,0,0.5555555555555556,1,0.30000000000000004,skewed5
1,0,0,1,0,10,1,0,0,0.5,1,0.30000000000000004,skewed5
0,1,0,1,0,11,0,0,1,0.5454545454545454,1,0.30000000000000004,skewed5
1,1,0,1,0,12,1,0,0,0.5,1,0.30000000000000004,skewed5
